diary_name,strain,strains_company,light_watt,nutrients,watering,soil,germination,grow_techniques,grow_room_size,weeks_to_harvest,num_of_plants,likes,comments,views,bud_dry_weight,bud_wet_weight
Remochemo,Remo Chemo,Dinafem,,"Green House Feeding,",Manual,"Soil Grow Medium,",Directly In Substrate,"Defoliation,FIMing,Topping,HST,",,11,1,5,8,271,,0.35
Ethos - Banana Daddy 2,Banana Daddy Auto R BX2,ETHOS Genetics,240 watt,,Manual,"CoolGrows GT 96x48x80,Soil Grow Medium,",,"LST,",,11,1,31,12,1759,4.23,
Moby Dick,Ojitos Rojos - Moby Dick,Custom Breeder & Strain,400 watt,"Hesi,CannaBioGen,",Manual,"Klassman TS 3 (Sphagnum Moss) Grow Medium,Perlite Grow Medium,Worm Castings Grow Medium,Compost Grow Medium,",Directly In Substrate,"Defoliation,HST,Uncle Ben's topping technique,Topping,LST,ScrOG,",861.11,19,2,2,3,808,,38.8
AUTO SKYWALKER HAZE Dutch passion,Auto Skywalker Haze,Dutch Passion,310 watt,"BioBizz,",Manual,"Biobizz light mix Grow Medium,",Paper Towel,,10.76,8,1,8,4,748,1.23,
Power Flower RQS & King's Kush CBD GHS,Power Flower,Royal Queen Seeds,,,,,,"LST,",,19,,29,7,648,,
Laughing Buddha,Laughing Buddha,Barney'S Farm,190 watt,"BioBizz,",Manual,"Coco Coir Grow Medium,Soil Grow Medium,",Other,"Topping,Defoliation,LST,",3.88,11,2,8,8,544,3.28,10.97
Aeque Genetics Alien OG,Alien OG,Custom Breeder & Strain,300 watt,,,"Pro mix HP Grow Medium,",Glass Of Water,"LST,FIMing,",8,11,1,17,4,131,4.28,
Super Sativa Seed Club Contest,Sweet Bourbon Auto Kush,Super Sativa Seed Club,1300 watt,,Hydroponics,"Coco Coir Grow Medium,",Glass Of Water,"LST,Defoliation,",,12,5,146,39,929,,32
Divine Seeds - Afghan Original,Afghan Original,Divine Seeds,"LED / 180W Custom,","BioBizz,",Manual,"Soil Grow Medium,",Paper Towel,"12-12 From Seed,Defoliation,",8.61,13,3,17,2,549,,1.76
Pineapple Express auto fem (FastBuds),Pineapple Express Auto,Barney'S Farm,200 watt,"Advanced Nutrients,Canna,Atami,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Paper Towel,"Defoliation,",645.83,10,3,11,13,1047,10.76,10.76
#10 Cali Gelato Auto - GFS,Cali Gelato Auto,Ganja Farmer Seeds,200 watt,"Dutchpro USA,BioBizz,Monkey Nutrients,",Manual,"Soil Grow Medium,",Glass Of Water,"HST,LST,Defoliation,",8.61,13,1,10,7,284,0.94,4.66
AUTO MOKUMS TULIP Dutch passion,Auto Mokum's Tulip,Dutch Passion,310 watt,"BioBizz,",Manual,"Biobizz light mix Grow Medium,",Glass Of Water,,10.76,7,1,6,3,742,1.23,
Outdoor ScroG Maroc,Maroc,Female Seeds,,,Manual,"Soil Grow Medium,Compost Grow Medium,",,"HST,FIMing,LST,Defoliation,Thinned out fan leaves,ScrOG,Topping,",,24,1,7,10,326,,
Mohan Ram,Mohan Ram®,Sweet Seeds,300 watt,"General Hydroponics (GHE),",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,,4.31,10,1,12,5,692,4.76,19.05
Peyote Gorilla,Peyote Gorilla,Seedsman,480 watt,"General Hydroponics (GHE),",Manual,,,,4.31,14,1,1,3,337,5.64,20.11
DoSiDos 33,Dos Si Dos 33,Barney'S Farm,480 watt,"General Hydroponics (GHE),",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,,3.23,11,1,6,3,1963,5.64,15.34
Mandarine Punch Auto,Mandarine Punch Auto,Sensi Seeds,300 watt,"General Hydroponics (GHE),",Manual,,,,3.23,10,1,5,2,361,4.94,20.11
Watermelon OG X Mango auto 2,Watermelon OG X Mango Auto,Green House Seed Co.,300 watt,"General Hydroponics (GHE),",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,,2.15,7,1,4,1,189,1.98,8.47
Kush Mint X Gelato 41. 2,Kush Mint X Gelato #41,Green House Seed Co.,300 watt,"General Hydroponics (GHE),",Manual,,,,1.08,8,1,4,3,512,0.67,1.94
Sky Headband X Sky auto 2,Sky Headband X Sky Auto,Green House Seed Co.,300 watt,"General Hydroponics (GHE),",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,,2.15,6,1,0,0,249,1.76,5.11
Grape Glue Auto 2,Grape Glue Auto,Green House Seed Co.,480 watt,"General Hydroponics (GHE),",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,,2.15,7,1,0,0,228,2.43,8.47
Atlas Seed - Grease Gun,Grease Gun,Atlas Seed,600 watt,"Fox Farm,Cold War Organics,",Manual,"Soil Grow Medium,",Glass Of Water,"LST,Defoliation,",,13,1,26,9,511,4,4
Caramel Apple Gelato X Gelato 41. 2,Caramel Apple Gelato X Gelato #41,Green House Seed Co.,480 watt,"General Hydroponics (GHE),",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,,2.15,9,1,3,1,354,1.66,6.17
White Widow 2,White Widow,Spliff Seeds,480 watt,"General Hydroponics (GHE),",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,,3.23,12,1,1,1,512,,13.58
Sweet n Sour 2,Sweet n Sour Indoor,Spliff Seeds,480 watt,"General Hydroponics (GHE),",Manual,,,,4.31,11,1,1,0,420,4.41,19.4
Super Skunk 2,Super Skunk,Spliff Seeds,480 watt,"General Hydroponics (GHE),",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,,3.23,11,1,1,0,433,,17.64
Amnesiac 2,Amnesiac,Spliff Seeds,480 watt,"General Hydroponics (GHE),",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,,4.31,11,1,5,4,485,4.23,15.87
Lemon Tree Lizette,Lemon Tree,Barney'S Farm,"LED / 300W 300W,","Fox Farm,",Manual,"Soil Grow Medium,",Glass Of Water,"LST,Defoliation,",13.12,13,1,26,4,858,0.18,0.18
Critical Purple Kush 2022,Critical Purple Kush,Seedsman,205 watt,"Earth Juice,Botanicare,Advanced Nutrients,Real Growers,",Manual,"Soil Grow Medium,",Paper Towel,"Defoliation,Topping,LST,",,17,1,68,8,494,7.76,
First FAST BUDS!!,Wedding Cheesecake Auto,Fast Buds,600 watt,"Real Growers,Fox Farm,Terpinator,Dakine 420,Down To Earth,",Manual,"AC Infinity Cloudlab 642 Advance Grow Tent 4x2 (48"" X 24"" X 72""),Promix Grow Medium,",Directly In Substrate,"LST,Defoliation,",26.25,9,1,136,59,1653,4.2,7.3
Pre-programed Emerald Crevice,Green Crack Auto,Seedsman,480 watt,"General Hydroponics (GHE),Jobe's Organics,StepWell Soil Inc,Gaia Green,Fish Head Farms,",Manual,"BloomGrow GT 60''X32''X80,Promix BX Grow Medium,Vermiculite Grow Medium,",Glass Of Water,"FIMing,",10,7,1,39,11,371,3.56,13.19
Royal Gorilla Auto Stealth,Royal Gorilla Automatic,Royal Queen Seeds,1000 watt,"Advanced Nutrients,RQS Organic Nutrients,BioBizz,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Paper Towel,"Topping,LST,Defoliation,",2.69,10,1,18,6,716,2.05,
Harlequin,Harlequin feminized seeds,Weedseedsexpress,400 watt,,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,"Topping,LST,Defoliation,ScrOG,",12.92,15,1,7,9,255,,3.67
Fastbuds Forbidden Runtz Auto,Forbidden Runtz Auto,Fast Buds,680 watt,"Fox Farm,Advanced Nutrients,",Manual,"Soil Grow Medium,",,"LST,ScrOG,",Custom,10,2,7,5,367,8,8
First grow,Killer Queen,Brothers Grimm Seeds,100 watt,"Gaia Green,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,"Defoliation,",13.12,11,1,7,4,291,,4.4
22 Red Lebanese,Red Libanon,Flash Seeds,,"Grotek,Gaia Green,",Manual,"Soil Grow Medium,Perlite Grow Medium,Peat Grow Medium,Compost Grow Medium,Humalite Grow Medium,",Glass Of Water,"FIMing,",,15,1,9,8,362,,1.41
Zkittles,Zkittlez,ILGM,480 watt,"General Hydroponics (GHE),",Hydroponics,"Other Grow Medium,",Other,"Defoliation,SoG,LST,Topping,FIMing,",129.17,21,,58,10,737,,
Bruce Banner in Bucket X 2,Bruce banner 3,Growers Choice,480 watt,"General Hydroponics (GHE),",Hydroponics,"Expanded Clay Grow Medium,",Other,"SoG,LST,FIMing,Topping,Defoliation,",Custom,19,,45,13,988,,
Wedding Cake Seed Junky Genetics,Wedding Cake Bx1,Seed Junky Genetics,600 watt,"Advanced Hydroponics of Holland,",Manual,"Soil Grow Medium,",,"LST,",15.5,17,8,6,2,1355,8.89,
OG BERRY,OG BERRY,Custom Breeder & Strain,310 watt,"BioBizz,",Manual,"Plagron lightmix Grow Medium,",Glass Of Water,,10.76,7,2,2,2,74,3.53,
PURPLE PUNCH Auto FASTBUDS,Purple Punch Auto,Fast Buds,640 watt,"Advanced Nutrients,Botanicare,Element Nutrients,",Manual,"Soil Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,",Paper Towel,"LST,",43.06,14,1,36,14,1053,,14.32
RQS Green Gelato auto,Green Gelato Automatic,Royal Queen Seeds,150 watt,"BioBizz,Advanced Nutrients,",Manual,"Biobizz Grow Medium,",Directly In Substrate,"LST,",,12,1,18,4,1537,,
Cash Cow / Fast lady,Cash Cow,Anesia Seeds,1200 watt,"Advanced Nutrients,Ecothrive,",Manual,"Soil Grow Medium,",,"Defoliation,",8,8,5,11,8,550,9.5,9.5
Strawberry pie(Fastbuds),Strawberry Pie Auto,Fast Buds,,"BuildASoil,Real Growers,",Manual,"AC Infinity Cloudlab 642 Advance Grow Tent 4x2 (48"" X 24"" X 72""),Soil Grow Medium,Other Grow Medium,",Directly In Substrate,"LST,Defoliation,",,8,,15,15,451,,
Strawberry Kush Breath,Blackberry Moonrocks Dropping Beans Genetics,Custom Breeder & Strain,,"Real Growers,Aurora Innovations (Roots Organics),",Manual,"ocean forest and roots 707 mixed Grow Medium,",Other,"Defoliation,LST,Topping,HST,FIMing,",,FLOWERING,,28,13,817,,
family gorilla,Gorilla Cookies Auto,Fast Buds,475 watt,"BioBizz,Atami,",Manual,"pot Grow Medium,",Paper Towel,"LST,ScrOG,Defoliation,",,11,1,18,18,1395,1.66,6.35
Light of Jah,Light of Jah Auto,Amsterdam Marijuana Seeds AMS,200 watt,"Advanced Nutrients,Botanicare,Lotus Nutrients,",Hydroponics,"AC Infinity Cloudlab 642 Advance Grow Tent 4x2 (48"" X 24"" X 72""),Mineral Wool Grow Medium,",Paper Towel,"Defoliation,LST,",,16,,26,10,423,3.53,
Runt of the RuntZ,Runtz Auto,Barney'S Farm,150 watt,,Manual,"Gorilla Grow Tent GGT 5x5,Soil Grow Medium,",,,16.4,11,1,0,0,320,,
Sweet Hotoweed Auto,Sweet Hotoweed Auto,Custom Breeder & Strain,,"BioBizz,Jungle indabox,Advanced Hydroponics of Holland,",Manual,"Soil Grow Medium,Perlite Grow Medium,",,"LST,Defoliation,",,12,1,89,7,257,0.24,0.02
"FruitWalkerTest Grow1 pheno 1,2,and 3",FruitWalker,Custom Breeder & Strain,,"Fox Farm,Advanced Nutrients,Terpinator,",Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",Paper Towel,"LST,ScrOG,Topping,Let go and Let God,Let go and let GOD!,",Custom,FLOWERING,,101,54,558,,
Auto Duck Dutch Passion ( mutant ),Auto Duck,Dutch Passion,,"BioBizz,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Vermiculite Grow Medium,Soil Grow Medium,Mycorrhizal Fungi Grow Medium,Dolomitic Lime Grow Medium,Peat Grow Medium,Mineral NPK fertili Grow Medium,",Glass Of Water,"LST,Defoliation,",,11,1,4,1,572,0.74,
is it ready?,Northern Lights Auto,Fast Buds,,,Manual,,,,,11,,0,0,63,,
First grow Cinex,Cinex AutoFlowering,Growers Choice Seeds,,"Fox Farm,",Manual,"CoolGrows GT 24x24x55,Soil Grow Medium,",Rockwool Cube,,,FLOWERING,,4,1,361,,
First grow,Northern Lights Autoflowering,Growers Choice Seeds,"LED / 115W RA1000W,","Fox Farm,",Manual,"CoolGrows GT 24x24x55,Soil Grow Medium,",Paper Towel,"LST,Defoliation,",,14,1,8,3,298,,
RosaRosae X Estrella MalvaTH,Estrella Malva,Custom Breeder & Strain,,"Superbud,",Manual,"RosaRosae X Estrella Malva Grow Medium,",Glass Of Water,"FIMing,",,14,24,5,6,508,,17.64
Outdoor project ‘22,Nilsson seeds - One,Custom Breeder & Strain,,,Manual,,Glass Of Water,,,23,,44,21,297,,
Second indoor grow,Mimosa Evo,Barney'S Farm,"LED / 480W FC-E 4800,LED / 480W FC-E 4800,","Fish Head Farms,",Manual,"Soil Grow Medium,Perlite Grow Medium,compost Grow Medium,",Paper Towel,"Topping,",,FLOWERING,,10,3,2651,,
Blueberry outdoor 2022,Blueberry,Dutch Passion,,,Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,",,"LST,FIMing,",,22,1,3,1,923,,
GanjaFarmer Contest - CaliGelato,Cali Gelato Auto,Ganja Farmer Seeds,,"Fox Farm,",Manual,"Soil Grow Medium,Perlite Grow Medium,",,"Topping,LST,",,13,1,4,1,230,,1.13
white widow auto fastbud,White Widow Auto,Fast Buds,400 watt,"BioBizz,Atami,",Manual,"Soil Grow Medium,",Other,"LST,Defoliation,",,11,1,34,21,545,,4.37
2nd Selection “Frutopia”,Frutopia,Bask Triangle Farms,"LED / 150W The Smith 150W,",,Manual,,Paper Towel,"FIMing,",,20,,31,10,211,,
Ganja Farmer Blue Dream Auto,Blue Dream Auto,Ganja Farmer Seeds,150 watt,"General Hydroponics (GHE),Bloom City Organics,Green Planet Nutrients,",Manual,"CoolGrows GT 48x48x80,Coco Coir Grow Medium,Expanded Clay Grow Medium,",Other,"Leave it alone,Natural, no BS,Leaving the plant alone.,Normal,Natural,",16,12,1,72,16,778,8.71,29.84
Glookies,Glookies,Barney'S Farm,300 watt,,Manual,,Paper Towel,"LST,Topping,ScrOG,",6.89,15,2,197,44,4641,11.99,
Tropicanna Banana & Mimosa Evo (Barneys),Tropicanna Banana,Barney'S Farm,240 watt,"Hesi,BioBizz,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Expanded Clay Grow Medium,",,"Topping,LST,Defoliation,Lolli-popping,",3.44,13,1,7,2,2321,2.65,
Gelato Auto,Gelato autoflowering seeds,Weedseedsexpress,300 watt,"Dr. Earth,Aurora Innovations (Roots Organics),Fox Farm,Botanicare,",Manual,"Soil Grow Medium,Perlite Grow Medium,Worm Castings Grow Medium,",Paper Towel,"Topping,Defoliation,LST,",8,10,3,28,1,187,,4.6
Auto Creeper SSSC,Auto Creeper,Super Sativa Seed Club,190 watt,"BioBizz,",Manual,"Soil Grow Medium,",,"Topping,Defoliation,",6.89,14,1,28,17,695,1.53,6.21
Girl Scout Cookies Auto,Girl Scout Cookies autoflower,Weedseedsexpress,300 watt,"Dr. Earth,Aurora Innovations (Roots Organics),Fox Farm,Botanicare,",Manual,"Coco Coir Grow Medium,Worm Castings Grow Medium,Perlite Grow Medium,",Paper Towel,"Topping,Defoliation,LST,",26.25,11,1,31,5,298,2,14.82
Pev Durban poison,Durban Poison Fast Flowering,Pev Seeds,480 watt,"BioBizz,",Manual,"Light mix soil Grow Medium,",Other,"LST,ScrOG,",10.76,14,1,24,12,320,10.58,105.82
2x white widow auto,White Widow Automatic,Royal Queen Seeds,480 watt,"RQS Organic Nutrients,",Manual,"Gorilla Grow Tent GGT Shorty 4x8,Soil Grow Medium,",,,32.29,11,2,31,8,376,,1.59
Fastbuds Hydro Pie,Strawberry Pie Auto,Fast Buds,300 watt,,Manual,"CoolGrows GT 48x24x72,Living soil Grow Medium,Perlite Grow Medium,",Other,"6/2 light schedule,Topping,LST,Defoliation,",8.53,13,1,227,142,958,3.67,24.8
Yesterdream,Charlotte's Yesterdream,Custom Breeder & Strain,300 watt,,Manual,"CoolGrows GT 48x24x72,Living soil Grow Medium,Perlite Grow Medium,",Other,"Topping,LST,Defoliation,6/2 light schedule,",8.53,13,1,215,131,437,3.84,24.8
"Royal Runtz, OG Kush, Northern Lights",Northern Light,Royal Queen Seeds,310 watt,"BioBizz,Green Buzz Nutrients,",Manual,"Soil Grow Medium,Perlite Grow Medium,",,"Defoliation,Flushing,LST,Topping,ScrOG,",12.92,15,2,17,11,2159,,11.64
First grow DP Auto Critical Orange Punch,Auto Critical Orange Punch,Dutch Passion,60 watt,"BioBizz,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Paper Towel,"LST,",5.38,14,2,10,4,727,2.12,7.05
King Tut by Dr.seeds,Tutankhamun Autoflowering,Dr. Seeds,150 watt,,Manual,"Soil Grow Medium,",Directly In Substrate,"LST,Defoliation,Topping,",,10,1,11,7,177,2,3
HS Hvyweight in DWC,HvyWeight,Hy-Seeds,86 watt,"Atami,Green House Feeding,B.A.C.,",Hydroponics,"Other Grow Medium,",Other,"Topping,ScrOG,",6.46,16,1,3,4,293,3.88,19.47
"My Forbidden, Runtz Auto",Forbidden Runtz Auto,Fast Buds,120 watt,"Advanced Nutrients,Growth Technology,BioBizz,Green House Feeding,Canna,",Manual,"Soil Grow Medium,Expanded Clay Grow Medium,",Glass Of Water,"LST,No-Stress-Training,Defoliation,",8.61,10,2,10,11,623,,8.82
Ripper - Açaiberrry x Kush mints x Runtz,Acaiberrry x Kush mints x Runtz,Ripper Seeds,"LED / 150W (×2) Mars TS 1000,LED / 310W Mars TSW 2000,","BioBizz,Advanced Nutrients,",Manual,"Bio BIzz All mix Grow Medium,",Glass Of Water,"LST,FIMing,Defoliation,",Custom,FLOWERING,,140,57,745,,
Legendary White Widow,White Widow,Spliff Seeds,300 watt,"General Hydroponics (GHE),",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",,,3.23,12,1,19,3,348,3.81,12.35
Amnesiac your brain!,Amnesiac,Spliff Seeds,300 watt,"General Hydroponics (GHE),",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Expanded Clay Grow Medium,",,,4.31,11,1,30,5,417,5.82,24.69
Big Yield Auto (first ever grow!),Big Yield Auto,Phoenix Seeds,200 watt,"BioBizz,Shogun,Advanced Nutrients,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Paper Towel,"LST,Defoliation,",,12,9,17,10,1070,17.5,64.5
Skunk is always super!,Super Skunk,Spliff Seeds,300 watt,"General Hydroponics (GHE),",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Expanded Clay Grow Medium,",,,4.31,11,1,18,4,418,2.65,11.82
Original Sensible Seeds Autoflowers,Gorilla Glue #4 Auto,Original Sensible Seeds,200 watt,"BioBizz,",Manual,"Soil Grow Medium,Perlite Grow Medium,",Peat Pellet,"Skankhunting,Lollipoping,Mother fucking,Defoliation,",Custom,10,2,50,14,345,3.97,
Bubble Gum (Outdoor),Bubble Gum,Serious Seeds,,"Real Growers,",Manual,"Soil Grow Medium,",,"HST,LST,",,19,1,15,7,770,,105.82
Super Lemon Haze (Outdoor),Super Lemon Haze,Green House Seed Co.,,"Real Growers,",Manual,"Soil Grow Medium,",,"LST,Defoliation,HST,Topping,",,26,1,15,4,961,,105.82
Thailand Legalization,Blue Dream Sherbet Autoflowe,Growers Choice,300 watt,,Manual,"Soil Grow Medium,",,,Custom,11,,38,23,625,,
22 Seedsman Northern Lights Re-try,Northern Lights Auto,Seedsman,,"Grotek,Gaia Green,",Manual,"Soil Grow Medium,Perlite Grow Medium,Peat Grow Medium,Compost Grow Medium,Humalite Grow Medium,",Glass Of Water,"LST,FIMing,",,15,1,7,6,818,1.59,5.68
22 Perp Walk,Perp Walk - Lucky13,Custom Breeder & Strain,,"Grotek,Gaia Green,",Manual,"Soil Grow Medium,Perlite Grow Medium,Compost Grow Medium,",Glass Of Water,"Main-Lining,",,23,2,6,6,336,6,24.97
22 Blackberry Hammer,Blackberry Hammer,Jordan Of The Islands,,"Greenleaf Nutrients,Grotek,Gaia Green,",Manual,"Soil Grow Medium,Perlite Grow Medium,Compos Grow Medium,",Glass Of Water,"Main-Lining,",,23,1,2,4,306,3.56,13.93
22 Northern Lights Northern Alberta,Northern Lights Auto,Fast Buds,,"Grotek,Aurora Innovations (Roots Organics),Gaia Green,",Manual,"Soil Grow Medium,Perlite Grow Medium,Peat Grow Medium,Compost Grow Medium,Humalite Grow Medium,",Glass Of Water,"Topping,",,16,2,20,4,838,4.8,18.34
22 Kush and Cookies,Kush’N’Cookies CBD,Garden Of Green,,"Greenleaf Nutrients,Grotek,Gaia Green,",Manual,"Soil Grow Medium,Perlite Grow Medium,Compost Grow Medium,",Glass Of Water,"Topping,",,23,1,6,11,293,,13.4
22 Marley’s Fave,Jamaican Lambsbread Feminized,Pev Seeds,,"Greenleaf Nutrients,Grotek,Gaia Green,",Manual,"Soil Grow Medium,Perlite Grow Medium,Compost Grow Medium,",Glass Of Water,"Main-Lining,",,21,1,5,8,366,4.52,17.11
22 Laughing Lion,Laughing Lion,Custom Breeder & Strain,,"Greenleaf Nutrients,Grotek,Gaia Green,",Manual,"Soil Grow Medium,Perlite Grow Medium,Compost Grow Medium,",Glass Of Water,"Main-Lining,HST,",,23,2,2,3,216,5.86,23.39
Blueberry Outdoor,BC Blueberry,BC Bud Depot,,"Gaia Green,Advanced Nutrients,",Manual,"Soil Grow Medium,",Paper Towel,"Defoliation,LST,",,25,1,77,53,1302,19.4,147
Pure CBD Raspberry Cheesecake,Raspberry Cheesecake CBD,Custom Breeder & Strain,,"Gaia Green,Advanced Nutrients,",Manual,"Soil Grow Medium,",Paper Towel,"Defoliation,LST,",,20,1,15,36,1821,14.29,144
Cream Cookies (Auto) •FastBuds•,Cream Cookies Auto,Fast Buds,300 watt,,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Paper Towel,,,11,1,10,6,696,2.62,11.29
Cinderella 99,Cinderella 99,Custom Breeder & Strain,480 watt,"Plant Success (Plant Revolution),",Manual,"Gorilla Grow Tent GGT 5x5,Soil Grow Medium,",Glass Of Water,,25,16,6,3,6,76,,14
"Amnesia Haze auto ""Tough Stop Trio 2",Amnesia Haze Auto,Expert Seeds,100 watt,"BioBizz,Plant Success (Plant Revolution),General Hydroponics (GHE),Growth Technology,",Manual,"Mineral Wool Grow Medium,Soil Grow Medium,Perlite Grow Medium,",Paper Towel,,12.92,13,1,6,4,351,,9.1
Ganjafarmerseeds 41 skunk 2.0 fv,Skunk 2.0 Fast Version,Ganja Farmer Seeds,,"Real Growers,",Manual,"Soil Grow Medium,",Directly In Substrate,,,20,1,75,54,549,13,170
Gorilla Punch,Gorilla Punch Auto,Fast Buds,600 watt,"FloraFlex,Bloom City Organics,Dutchpro USA,",Manual,"AC Infinity Cloudlab 844 Advance Grow Tent 4x4 (48"" X 48"" X 80""),Soil Grow Medium,",Paper Towel,"Defoliation,",13.12,11,1,30,8,881,6.88,
North Thunderfuck Auto,North Thunderfuck Automatic,Royal Queen Seeds,,"BioBizz,",Manual,"Soil Grow Medium,Perlite Grow Medium,",,,,12,1,4,6,555,,4.97
Gorilla_A_full-Organik-Out,Gorilla Glue Auto,BSF Seeds,,,Manual,"Soil Grow Medium,Vermiculite Grow Medium,Other Grow Medium,Coco Coir Grow Medium,",Directly In Substrate,"LST,",,10,1,6,5,409,1.52,7.09
OUTDOOR 22 RQS -Honey Cream,Honey Cream (Royal Caramel),Royal Queen Seeds,,"RQS Organic Nutrients,Green Buzz Nutrients,Gen1:11,",Manual,"Soil Grow Medium,",,"TOPDRESSING,Topping,Defoliation,Supercropping,",,24,1,133,30,1085,14.82,14.82
COPA Ancient OG F3,COPA Genetics: Ancient OG F3,Custom Breeder & Strain,300 watt,"J.R. Peters, Inc.,Botanicare,Real Growers,Espoma,",Manual,"Soil Grow Medium,Perlite Grow Medium,Other Grow Medium,",Paper Towel,"Topping,",5.27,19,1,10,4,943,17.67,
Mushrooms,Mexicans spores,Custom Breeder & Strain,,,Manual,"Coco Coir Grow Medium,Vermiculite Grow Medium,",,,,29,2,3,6,168,,3.03
CBD Mexican Auto-flower second try,CBD Mexican Auto-flower,Custom Breeder & Strain,,"Advanced Nutrients,Fox Farm,",Manual,"Soil Grow Medium,",Glass Of Water,"Main-Lining,LST,Defoliation,",,24,2,5,4,103,,8.22
konguette 2 Lacookie,Gorilla Cookies Auto,Fast Buds,220 watt,"BioBizz,",Drip,"Soil Grow Medium,",Paper Towel,"LST,Defoliation,",6.89,10,1,22,19,802,1.47,10.58
Sensi star - the star of my tent,Sensi Star,Paradise Seeds,150 watt,"General Hydroponics (GHE),Advanced Nutrients,Canna,Plant Success (Plant Revolution),The American Root Company (Big Foot),",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Other,"LST,Defoliation,",6.89,13,1,29,5,924,4.59,
First Grow on Balkon,Cookies Gelato Automatic,Royal Queen Seeds,,"Bio Nova,General Hydroponics (GHE),Advanced Hydroponics of Holland,",Manual,"Soil Grow Medium,",,"LST,Defoliation,",,FLOWERING,,25,24,1164,,
Mozs outdoor uk,O.G. Kush,Royal Queen Seeds,,"BioBizz,",Manual,"Soil Grow Medium,",,"Topping,Defoliation,",,16,1,2,1,383,,2.58
ORIGINAL CRITICAL,Critical Auto,Fast Buds,300 watt,"Top Crop,",Manual,"Soil Grow Medium,",Glass Of Water,"Defoliation,",2.15,8,1,57,8,726,2.15,9.38
Hypnotic Auto Fem by Anaconda Seeds,Hypnotic Auto,Custom Breeder & Strain,120 watt,,Manual,"Soil Grow Medium,Perlite Grow Medium,Vermicompost Grow Medium,",Peat Pellet,,3.88,10,1,5,5,281,0.41,
Jamaican Dream 2,Jamaican Dream,Eva Seeds,"LED / 250W Custom,","Grotek,",Manual,"Peat 50% Grow Medium,Vermiculite Grow Medium,",Directly In Substrate,"LST,Defoliation,FIMing,",15.5,15,9,40,12,998,33.09,77.6
Sour Apple x Pancakes (2x4),SourApple x Pancakes,In House Genetics,,"Dr. Earth,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Other Grow Medium,",Glass Of Water,"LST,Defoliation,",,17,1,22,6,641,1.27,
Rainnanabow (2x4),Wolfpack Selections,Custom Breeder & Strain,150 watt,"Dr. Earth,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Other Grow Medium,",Glass Of Water,"LST,Topping,Defoliation,",,18,1,8,6,582,1.06,
Cheelato (2x4),WolfPackSelections,Custom Breeder & Strain,,"Dr. Earth,",Manual,"Coco Coir Grow Medium,Perlite Grow Medium,Other Grow Medium,",Glass Of Water,"LST,Topping,Defoliation,",,17,1,3,4,174,1.9,
